"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10227","goToAllNews","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:49 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.MainPaigeTest",""
"","10998","noNewsToShow","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:49 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.NewsTest",""
"","10945","createNewsWithEmptyFields","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:49 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.NewsTest",""
"","6469","authWithEmptyLoginAndPass","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:45 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.AuthTest",""
"","12632","checkClickLinks","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:51 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.AboutTest",""
"","13136","returnToMainScreen","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:52 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.AboutTest",""
"","17293","checkOurMissionElements","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:56 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.LoveQuotesTest",""
"","14546","checkFilterOfActive","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:53 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.NewsTest",""
"","6250","checkAuthScreenElements","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:45 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.AuthTest",""
"","10452","clickControlPanel","","Fri Apr 11 08:23:39 MSK 2025","passed","Fri Apr 11 08:23:49 MSK 2025","","ru.iteco.fmhandroid.ui.tests.AboutTest","ru.iteco.fmhandroid.ui.tests.NewsTest",""
